#  L TT            EE            BB            TE            PP            PT            PE           
2421 9.9298805e+01 2.8659615e+00 3.6844598e-02 -4.5436391e+00 1.6005053e-09 1.8988914e-07 -2.6456792e-09
2422 9.9057603e+01 2.8599706e+00 3.6809725e-02 -4.5015099e+00 1.5994311e-09 1.9063536e-07 -2.9283418e-09
2423 9.8815756e+01 2.8542319e+00 3.6774833e-02 -4.4597755e+00 1.5983578e-09 1.9138531e-07 -3.2093479e-09
2424 9.8571747e+01 2.8487399e+00 3.6739923e-02 -4.4184551e+00 1.5972860e-09 1.9213889e-07 -3.4886676e-09
2425 9.8327032e+01 2.8435038e+00 3.6704995e-02 -4.3775607e+00 1.5962150e-09 1.9289590e-07 -3.7662691e-09
2426 9.8080835e+01 2.8385031e+00 3.6670050e-02 -4.3370970e+00 1.5951456e-09 1.9365623e-07 -4.0421225e-09
2427 9.7833124e+01 2.8337474e+00 3.6635086e-02 -4.2970767e+00 1.5940770e-09 1.9441962e-07 -4.3161952e-09
2428 9.7584609e+01 2.8292311e+00 3.6600105e-02 -4.2575121e+00 1.5930099e-09 1.9518597e-07 -4.5884573e-09
2429 9.7335256e+01 2.8249565e+00 3.6565107e-02 -4.2184162e+00 1.5919436e-09 1.9595506e-07 -4.8588770e-09
2430 9.7084287e+01 2.8209107e+00 3.6530092e-02 -4.1797872e+00 1.5908789e-09 1.9672681e-07 -5.1274248e-09
2431 9.6832410e+01 2.8170962e+00 3.6495061e-02 -4.1416531e+00 1.5898154e-09 1.9750096e-07 -5.3940680e-09
2432 9.6579591e+01 2.8135151e+00 3.6460014e-02 -4.1040126e+00 1.5887526e-09 1.9827735e-07 -5.6587754e-09
2433 9.6325792e+01 2.8101550e+00 3.6424951e-02 -4.0668793e+00 1.5876914e-09 1.9905589e-07 -5.9215181e-09
2434 9.6071721e+01 2.8070182e+00 3.6389873e-02 -4.0302597e+00 1.5866313e-09 1.9983632e-07 -6.1822630e-09
2435 9.5815853e+01 2.8041074e+00 3.6354781e-02 -3.9941606e+00 1.5855720e-09 2.0061850e-07 -6.4409790e-09
2436 9.5559638e+01 2.8014101e+00 3.6319675e-02 -3.9585963e+00 1.5845143e-09 2.0140231e-07 -6.6976373e-09
2437 9.5302295e+01 2.7989216e+00 3.6284556e-02 -3.9235740e+00 1.5834574e-09 2.0218749e-07 -6.9522038e-09
2438 9.5044527e+01 2.7966519e+00 3.6249423e-02 -3.8890935e+00 1.5824019e-09 2.0297394e-07 -7.2046498e-09
2439 9.4785553e+01 2.7945815e+00 3.6214279e-02 -3.8551701e+00 1.5813477e-09 2.0376151e-07 -7.4549443e-09
2440 9.4526076e+01 2.7927206e+00 3.6179124e-02 -3.8218115e+00 1.5802942e-09 2.0454994e-07 -7.7030538e-09
2441 9.4266057e+01 2.7910571e+00 3.6143957e-02 -3.7890259e+00 1.5792418e-09 2.0533912e-07 -7.9489489e-09
2442 9.4005457e+01 2.7895939e+00 3.6108781e-02 -3.7568141e+00 1.5781910e-09 2.0612890e-07 -8.1925994e-09
2443 9.3743491e+01 2.7883190e+00 3.6073596e-02 -3.7251848e+00 1.5771410e-09 2.0691906e-07 -8.4339725e-09
2444 9.3481605e+01 2.7872355e+00 3.6038402e-02 -3.6941467e+00 1.5760925e-09 2.0770952e-07 -8.6730402e-09
2445 9.3219758e+01 2.7863464e+00 3.6003201e-02 -3.6637090e+00 1.5750451e-09 2.0850002e-07 -8.9097683e-09
2446 9.2956425e+01 2.7856324e+00 3.5967992e-02 -3.6338661e+00 1.5739985e-09 2.0929040e-07 -9.1441258e-09
2447 9.2693791e+01 2.7851041e+00 3.5932778e-02 -3.6046424e+00 1.5729534e-09 2.1008056e-07 -9.3760849e-09
2448 9.2430331e+01 2.7847497e+00 3.5897559e-02 -3.5760254e+00 1.5719094e-09 2.1087026e-07 -9.6056114e-09
2449 9.2166003e+01 2.7845651e+00 3.5862335e-02 -3.5480327e+00 1.5708666e-09 2.1165939e-07 -9.8326763e-09
2450 9.1902252e+01 2.7845535e+00 3.5827108e-02 -3.5206596e+00 1.5698246e-09 2.1244770e-07 -1.0057245e-08
2451 9.1637551e+01 2.7847032e+00 3.5791878e-02 -3.4939168e+00 1.5687837e-09 2.1323508e-07 -1.0279295e-08
2452 9.1373344e+01 2.7850102e+00 3.5756646e-02 -3.4678000e+00 1.5677442e-09 2.1402148e-07 -1.0498824e-08
2453 9.1108103e+01 2.7854778e+00 3.5721414e-02 -3.4423277e+00 1.5667060e-09 2.1480683e-07 -1.0715835e-08
2454 9.0843275e+01 2.7861019e+00 3.5686181e-02 -3.4175037e+00 1.5656684e-09 2.1559099e-07 -1.0930328e-08
2455 9.0578074e+01 2.7868711e+00 3.5650949e-02 -3.3933171e+00 1.5646324e-09 2.1637397e-07 -1.1142308e-08
2456 9.0313203e+01 2.7877813e+00 3.5615719e-02 -3.3697796e+00 1.5635971e-09 2.1715564e-07 -1.1351776e-08
2457 9.0048621e+01 2.7888361e+00 3.5580491e-02 -3.3468884e+00 1.5625633e-09 2.1793602e-07 -1.1558739e-08
2458 8.9783545e+01 2.7900241e+00 3.5545266e-02 -3.3246557e+00 1.5615307e-09 2.1871497e-07 -1.1763195e-08
2459 8.9517934e+01 2.7913487e+00 3.5510046e-02 -3.3030791e+00 1.5604988e-09 2.1949241e-07 -1.1965147e-08
2460 8.9253234e+01 2.7927987e+00 3.5474830e-02 -3.2821565e+00 1.5594683e-09 2.2026836e-07 -1.2164603e-08
2461 8.8988662e+01 2.7943777e+00 3.5439621e-02 -3.2618934e+00 1.5584390e-09 2.2104267e-07 -1.2361560e-08
2462 8.8723436e+01 2.7960743e+00 3.5404417e-02 -3.2422957e+00 1.5574105e-09 2.2181527e-07 -1.2556022e-08
2463 8.8459745e+01 2.7978847e+00 3.5369221e-02 -3.2233545e+00 1.5563834e-09 2.2258618e-07 -1.2747996e-08
2464 8.8195323e+01 2.7998126e+00 3.5334034e-02 -3.2050761e+00 1.5553571e-09 2.2335523e-07 -1.2937478e-08
2465 8.7931615e+01 2.8018467e+00 3.5298855e-02 -3.1874597e+00 1.5543322e-09 2.2412241e-07 -1.3124476e-08
2466 8.7667842e+01 2.8039833e+00 3.5263685e-02 -3.1705047e+00 1.5533081e-09 2.2488762e-07 -1.3308990e-08
2467 8.7404707e+01 2.8062186e+00 3.5228526e-02 -3.1542107e+00 1.5522858e-09 2.2565090e-07 -1.3491029e-08
2468 8.7142174e+01 2.8085564e+00 3.5193378e-02 -3.1385776e+00 1.5512639e-09 2.2641201e-07 -1.3670585e-08
2469 8.6880206e+01 2.8109779e+00 3.5158241e-02 -3.1236054e+00 1.5502431e-09 2.2717097e-07 -1.3847667e-08
2470 8.6618023e+01 2.8134945e+00 3.5123117e-02 -3.1092947e+00 1.5492238e-09 2.2792777e-07 -1.4022281e-08
2471 8.6357075e+01 2.8160873e+00 3.5088006e-02 -3.0956384e+00 1.5482056e-09 2.2868226e-07 -1.4194424e-08
2472 8.6096583e+01 2.8187603e+00 3.5052909e-02 -3.0826377e+00 1.5471885e-09 2.2943442e-07 -1.4364102e-08
2473 8.5836511e+01 2.8215097e+00 3.5017826e-02 -3.0702934e+00 1.5461721e-09 2.3018411e-07 -1.4531314e-08
2474 8.5576825e+01 2.8243244e+00 3.4982758e-02 -3.0585996e+00 1.5451571e-09 2.3093133e-07 -1.4696068e-08
2475 8.5318232e+01 2.8272081e+00 3.4947706e-02 -3.0475652e+00 1.5441433e-09 2.3167603e-07 -1.4858365e-08
2476 8.5059957e+01 2.8301571e+00 3.4912670e-02 -3.0371773e+00 1.5431302e-09 2.3241806e-07 -1.5018204e-08
2477 8.4802707e+01 2.8331603e+00 3.4877651e-02 -3.0274304e+00 1.5421182e-09 2.3315739e-07 -1.5175590e-08
2478 8.4546449e+01 2.8362139e+00 3.4842650e-02 -3.0183268e+00 1.5411076e-09 2.3389400e-07 -1.5330529e-08
2479 8.4291152e+01 2.8393218e+00 3.4807666e-02 -3.0098543e+00 1.5400981e-09 2.3462781e-07 -1.5483024e-08
2480 8.4036038e+01 2.8424728e+00 3.4772702e-02 -3.0020230e+00 1.5390894e-09 2.3535867e-07 -1.5633071e-08
2481 8.3782562e+01 2.8456705e+00 3.4737757e-02 -2.9948061e+00 1.5380821e-09 2.3608661e-07 -1.5780678e-08
2482 8.3529949e+01 2.8489040e+00 3.4702832e-02 -2.9882217e+00 1.5370759e-09 2.3681155e-07 -1.5925850e-08
2483 8.3278167e+01 2.8521767e+00 3.4667927e-02 -2.9822585e+00 1.5360707e-09 2.3753336e-07 -1.6068584e-08
2484 8.3027186e+01 2.8554776e+00 3.4633044e-02 -2.9769051e+00 1.5350663e-09 2.3825199e-07 -1.6208884e-08
2485 8.2777718e+01 2.8588030e+00 3.4598183e-02 -2.9721655e+00 1.5340630e-09 2.3896740e-07 -1.6346754e-08
2486 8.2529732e+01 2.8621564e+00 3.4563345e-02 -2.9680289e+00 1.5330614e-09 2.3967959e-07 -1.6482203e-08
2487 8.2282456e+01 2.8655192e+00 3.4528529e-02 -2.9644922e+00 1.5320602e-09 2.4038834e-07 -1.6615221e-08
2488 8.2036602e+01 2.8689026e+00 3.4493738e-02 -2.9615600e+00 1.5310601e-09 2.4109365e-07 -1.6745819e-08
2489 8.1791400e+01 2.8722952e+00 3.4458971e-02 -2.9592145e+00 1.5300614e-09 2.4179553e-07 -1.6874001e-08
2490 8.1547563e+01 2.8756858e+00 3.4424229e-02 -2.9574534e+00 1.5290638e-09 2.4249382e-07 -1.6999766e-08
2491 8.1305805e+01 2.8790853e+00 3.4389513e-02 -2.9562743e+00 1.5280669e-09 2.4318845e-07 -1.7123116e-08
2492 8.1064613e+01 2.8824825e+00 3.4354824e-02 -2.9556678e+00 1.5270714e-09 2.4387944e-07 -1.7244059e-08
2493 8.0824701e+01 2.8858735e+00 3.4320162e-02 -2.9556319e+00 1.5260770e-09 2.4456663e-07 -1.7362593e-08
2494 8.0586413e+01 2.8892618e+00 3.4285528e-02 -2.9561501e+00 1.5250833e-09 2.4524997e-07 -1.7478721e-08
2495 8.0349426e+01 2.8926285e+00 3.4250923e-02 -2.9572208e+00 1.5240910e-09 2.4592946e-07 -1.7592450e-08
2496 8.0113936e+01 2.8959846e+00 3.4216348e-02 -2.9588428e+00 1.5230998e-09 2.4660496e-07 -1.7703779e-08
2497 7.9879842e+01 2.8993185e+00 3.4181803e-02 -2.9610001e+00 1.5221096e-09 2.4727645e-07 -1.7812713e-08
2498 7.9647266e+01 2.9026338e+00 3.4147289e-02 -2.9636916e+00 1.5211202e-09 2.4794378e-07 -1.7919249e-08
2499 7.9416109e+01 2.9059113e+00 3.4112808e-02 -2.9669092e+00 1.5201321e-09 2.4860697e-07 -1.8023397e-08
2500 7.9186494e+01 2.9091620e+00 3.4078359e-02 -2.9706449e+00 1.5191447e-09 2.4926590e-07 -1.8125155e-08
2501 7.8958397e+01 2.9123743e+00 3.4043944e-02 -2.9748908e+00 1.5181588e-09 2.4992058e-07 -1.8224532e-08
2502 7.8731867e+01 2.9155439e+00 3.4009564e-02 -2.9796392e+00 1.5171739e-09 2.5057084e-07 -1.8321521e-08
2503 7.8506879e+01 2.9186668e+00 3.3975219e-02 -2.9848899e+00 1.5161897e-09 2.5121660e-07 -1.8416124e-08
2504 7.8283485e+01 2.9217460e+00 3.3940910e-02 -2.9906282e+00 1.5152069e-09 2.5185786e-07 -1.8508346e-08
2505 7.8061736e+01 2.9247773e+00 3.3906639e-02 -2.9968393e+00 1.5142248e-09 2.5249441e-07 -1.8598180e-08
2506 7.7841534e+01 2.9277490e+00 3.3872405e-02 -3.0035311e+00 1.5132441e-09 2.5312626e-07 -1.8685632e-08
2507 7.7623080e+01 2.9306641e+00 3.3838211e-02 -3.0106743e+00 1.5122644e-09 2.5375332e-07 -1.8770703e-08
2508 7.7406279e+01 2.9335258e+00 3.3804057e-02 -3.0182769e+00 1.5112858e-09 2.5437545e-07 -1.8853388e-08
2509 7.7191107e+01 2.9363221e+00 3.3769943e-02 -3.0263250e+00 1.5103082e-09 2.5499262e-07 -1.8933691e-08
2510 7.6977695e+01 2.9390485e+00 3.3735871e-02 -3.0348045e+00 1.5093313e-09 2.5560466e-07 -1.9011607e-08
2511 7.6766021e+01 2.9417154e+00 3.3701843e-02 -3.0437166e+00 1.5083558e-09 2.5621157e-07 -1.9087143e-08
2512 7.6556141e+01 2.9443034e+00 3.3667857e-02 -3.0530401e+00 1.5073813e-09 2.5681326e-07 -1.9160298e-08
2513 7.6347886e+01 2.9468152e+00 3.3633916e-02 -3.0627763e+00 1.5064075e-09 2.5740956e-07 -1.9231066e-08
2514 7.6141463e+01 2.9492537e+00 3.3600021e-02 -3.0729117e+00 1.5054351e-09 2.5800047e-07 -1.9299454e-08
2515 7.5936852e+01 2.9516142e+00 3.3566172e-02 -3.0834332e+00 1.5044637e-09 2.5858592e-07 -1.9365462e-08
2516 7.5733964e+01 2.9538844e+00 3.3532370e-02 -3.0943348e+00 1.5034930e-09 2.5916571e-07 -1.9429084e-08
2517 7.5532856e+01 2.9560669e+00 3.3498617e-02 -3.1056110e+00 1.5025237e-09 2.5973985e-07 -1.9490326e-08
2518 7.5333513e+01 2.9581645e+00 3.3464912e-02 -3.1172487e+00 1.5015554e-09 2.6030827e-07 -1.9549190e-08
2519 7.5135995e+01 2.9601720e+00 3.3431257e-02 -3.1292351e+00 1.5005878e-09 2.6087079e-07 -1.9605668e-08
2520 7.4940288e+01 2.9620773e+00 3.3397653e-02 -3.1415648e+00 1.4996215e-09 2.6142740e-07 -1.9659767e-08
2521 7.4746378e+01 2.9638900e+00 3.3364100e-02 -3.1542252e+00 1.4986559e-09 2.6197796e-07 -1.9711483e-08
2522 7.4554328e+01 2.9656051e+00 3.3330599e-02 -3.1672109e+00 1.4976917e-09 2.6252248e-07 -1.9760823e-08
2523 7.4364052e+01 2.9672250e+00 3.3297151e-02 -3.1805021e+00 1.4967285e-09 2.6306079e-07 -1.9807781e-08
2524 7.4175614e+01 2.9687370e+00 3.3263757e-02 -3.1940938e+00 1.4957663e-09 2.6359285e-07 -1.9852361e-08
2525 7.3989079e+01 2.9701433e+00 3.3230418e-02 -3.2079735e+00 1.4948048e-09 2.6411849e-07 -1.9894557e-08
2526 7.3804362e+01 2.9714387e+00 3.3197133e-02 -3.2221290e+00 1.4938447e-09 2.6463771e-07 -1.9934375e-08
2527 7.3621457e+01 2.9726326e+00 3.3163905e-02 -3.2365554e+00 1.4928852e-09 2.6515037e-07 -1.9971812e-08
2528 7.3440504e+01 2.9737123e+00 3.3130732e-02 -3.2512407e+00 1.4919270e-09 2.6565648e-07 -2.0006874e-08
2529 7.3261350e+01 2.9746796e+00 3.3097617e-02 -3.2661651e+00 1.4909699e-09 2.6615586e-07 -2.0039555e-08
2530 7.3084062e+01 2.9755365e+00 3.3064559e-02 -3.2813316e+00 1.4900134e-09 2.6664841e-07 -2.0069855e-08
2531 7.2908636e+01 2.9762774e+00 3.3031559e-02 -3.2967207e+00 1.4890583e-09 2.6713416e-07 -2.0097782e-08
2532 7.2735069e+01 2.9768967e+00 3.2998618e-02 -3.3123203e+00 1.4881042e-09 2.6761291e-07 -2.0123327e-08
2533 7.2563358e+01 2.9773961e+00 3.2965735e-02 -3.3281260e+00 1.4871507e-09 2.6808459e-07 -2.0146493e-08
2534 7.2393575e+01 2.9777772e+00 3.2932912e-02 -3.3441185e+00 1.4861986e-09 2.6854920e-07 -2.0167285e-08
2535 7.2225571e+01 2.9780268e+00 3.2900149e-02 -3.3603007e+00 1.4852475e-09 2.6900656e-07 -2.0185697e-08
2536 7.2059421e+01 2.9781539e+00 3.2867446e-02 -3.3766460e+00 1.4842974e-09 2.6945665e-07 -2.0201734e-08
2537 7.1895198e+01 2.9781526e+00 3.2834803e-02 -3.3931573e+00 1.4833479e-09 2.6989929e-07 -2.0215390e-08
2538 7.1732757e+01 2.9780168e+00 3.2802221e-02 -3.4098155e+00 1.4823998e-09 2.7033449e-07 -2.0226671e-08
2539 7.1572174e+01 2.9777553e+00 3.2769700e-02 -3.4266162e+00 1.4814526e-09 2.7076216e-07 -2.0235577e-08
2540 7.1413452e+01 2.9773545e+00 3.2737241e-02 -3.4435401e+00 1.4805065e-09 2.7118215e-07 -2.0242105e-08
2541 7.1256595e+01 2.9768306e+00 3.2704843e-02 -3.4605829e+00 1.4795609e-09 2.7159438e-07 -2.0246254e-08
2542 7.1101534e+01 2.9761624e+00 3.2672507e-02 -3.4777329e+00 1.4786168e-09 2.7199886e-07 -2.0248032e-08
2543 7.0948423e+01 2.9753733e+00 3.2640232e-02 -3.4949782e+00 1.4776736e-09 2.7239541e-07 -2.0247432e-08
2544 7.0797120e+01 2.9744420e+00 3.2608020e-02 -3.5123071e+00 1.4767310e-09 2.7278393e-07 -2.0244453e-08
2545 7.0647632e+01 2.9733845e+00 3.2575870e-02 -3.5297078e+00 1.4757898e-09 2.7316445e-07 -2.0239104e-08
2546 7.0500041e+01 2.9721867e+00 3.2543782e-02 -3.5471684e+00 1.4748495e-09 2.7353677e-07 -2.0231378e-08
2547 7.0354281e+01 2.9708569e+00 3.2511756e-02 -3.5646846e+00 1.4739099e-09 2.7390082e-07 -2.0221274e-08
2548 7.0210287e+01 2.9693885e+00 3.2479793e-02 -3.5822444e+00 1.4729716e-09 2.7425660e-07 -2.0208801e-08
2549 7.0068143e+01 2.9677822e+00 3.2447892e-02 -3.5998286e+00 1.4720343e-09 2.7460393e-07 -2.0193950e-08
2550 6.9927785e+01 2.9660386e+00 3.2416053e-02 -3.6174326e+00 1.4710980e-09 2.7494279e-07 -2.0176728e-08
2551 6.9789225e+01 2.9641510e+00 3.2384277e-02 -3.6350520e+00 1.4701622e-09 2.7527302e-07 -2.0157130e-08
2552 6.9652473e+01 2.9621198e+00 3.2352564e-02 -3.6526599e+00 1.4692278e-09 2.7559470e-07 -2.0135182e-08
2553 6.9517467e+01 2.9599456e+00 3.2320913e-02 -3.6702666e+00 1.4682944e-09 2.7590784e-07 -2.0110902e-08
2554 6.9384220e+01 2.9576288e+00 3.2289325e-02 -3.6878450e+00 1.4673620e-09 2.7621238e-07 -2.0084309e-08
2555 6.9252745e+01 2.9551622e+00 3.2257799e-02 -3.7053907e+00 1.4664305e-09 2.7650840e-07 -2.0055425e-08
2556 6.9122907e+01 2.9525611e+00 3.2226336e-02 -3.7228987e+00 1.4654996e-09 2.7679580e-07 -2.0024266e-08
2557 6.8994942e+01 2.9498108e+00 3.2194935e-02 -3.7403569e+00 1.4645700e-09 2.7707469e-07 -1.9990859e-08
2558 6.8868568e+01 2.9469190e+00 3.2163597e-02 -3.7577455e+00 1.4636414e-09 2.7734507e-07 -1.9955224e-08
2559 6.8743948e+01 2.9438857e+00 3.2132321e-02 -3.7750744e+00 1.4627134e-09 2.7760687e-07 -1.9917376e-08
2560 6.8621097e+01 2.9407035e+00 3.2101108e-02 -3.7923164e+00 1.4617867e-09 2.7786017e-07 -1.9877340e-08
2561 6.8499808e+01 2.9373799e+00 3.2069957e-02 -3.8094663e+00 1.4608610e-09 2.7810500e-07 -1.9835139e-08
2562 6.8380246e+01 2.9339073e+00 3.2038869e-02 -3.8265264e+00 1.4599359e-09 2.7834125e-07 -1.9790786e-08
2563 6.8262278e+01 2.9302930e+00 3.2007844e-02 -3.8434692e+00 1.4590120e-09 2.7856904e-07 -1.9744308e-08
2564 6.8145920e+01 2.9265294e+00 3.1976881e-02 -3.8602968e+00 1.4580892e-09 2.7878837e-07 -1.9695726e-08
2565 6.8031116e+01 2.9226162e+00 3.1945981e-02 -3.8769963e+00 1.4571673e-09 2.7899918e-07 -1.9645055e-08
2566 6.7917883e+01 2.9185605e+00 3.1915143e-02 -3.8935548e+00 1.4562460e-09 2.7920148e-07 -1.9592317e-08
2567 6.7806238e+01 2.9143545e+00 3.1884368e-02 -3.9099666e+00 1.4553259e-09 2.7939538e-07 -1.9537539e-08
2568 6.7696125e+01 2.9100126e+00 3.1853656e-02 -3.9262261e+00 1.4544065e-09 2.7958075e-07 -1.9480732e-08
2569 6.7587562e+01 2.9055194e+00 3.1823007e-02 -3.9423274e+00 1.4534884e-09 2.7975770e-07 -1.9421924e-08
2570 6.7480419e+01 2.9008893e+00 3.1792420e-02 -3.9582572e+00 1.4525712e-09 2.7992624e-07 -1.9361136e-08
2571 6.7374864e+01 2.8961215e+00 3.1761897e-02 -3.9740095e+00 1.4516550e-09 2.8008631e-07 -1.9298382e-08
2572 6.7270692e+01 2.8912079e+00 3.1731436e-02 -3.9895780e+00 1.4507397e-09 2.8023798e-07 -1.9233690e-08
2573 6.7167998e+01 2.8861627e+00 3.1701038e-02 -4.0049492e+00 1.4498250e-09 2.8038115e-07 -1.9167071e-08
2574 6.7066800e+01 2.8809851e+00 3.1670704e-02 -4.0201240e+00 1.4489116e-09 2.8051594e-07 -1.9098554e-08
2575 6.6966896e+01 2.8756668e+00 3.1640433e-02 -4.0350886e+00 1.4479991e-09 2.8064236e-07 -1.9028159e-08
2576 6.6868455e+01 2.8702217e+00 3.1610224e-02 -4.0498363e+00 1.4470876e-09 2.8076034e-07 -1.8955903e-08
2577 6.6771275e+01 2.8646340e+00 3.1580080e-02 -4.0643604e+00 1.4461766e-09 2.8086989e-07 -1.8881805e-08
2578 6.6675450e+01 2.8589175e+00 3.1549998e-02 -4.0786465e+00 1.4452670e-09 2.8097112e-07 -1.8805894e-08
2579 6.6580928e+01 2.8530711e+00 3.1519980e-02 -4.0926951e+00 1.4443582e-09 2.8106394e-07 -1.8728183e-08
2580 6.6487656e+01 2.8470938e+00 3.1490026e-02 -4.1064990e+00 1.4434501e-09 2.8114835e-07 -1.8648692e-08
2581 6.6395580e+01 2.8409842e+00 3.1460135e-02 -4.1200435e+00 1.4425432e-09 2.8122447e-07 -1.8567449e-08
2582 6.6304725e+01 2.8347487e+00 3.1430307e-02 -4.1333286e+00 1.4416372e-09 2.8129219e-07 -1.8484468e-08
2583 6.6215111e+01 2.8283859e+00 3.1400544e-02 -4.1463393e+00 1.4407319e-09 2.8135153e-07 -1.8399770e-08
2584 6.6126613e+01 2.8219019e+00 3.1370844e-02 -4.1590828e+00 1.4398278e-09 2.8140259e-07 -1.8313381e-08
2585 6.6039255e+01 2.8152879e+00 3.1341207e-02 -4.1715437e+00 1.4389246e-09 2.8144529e-07 -1.8225316e-08
2586 6.5952985e+01 2.8085573e+00 3.1311634e-02 -4.1837215e+00 1.4380223e-09 2.8147969e-07 -1.8135599e-08
2587 6.5867753e+01 2.8017086e+00 3.1282125e-02 -4.1955932e+00 1.4371206e-09 2.8150570e-07 -1.8044245e-08
2588 6.5783658e+01 2.7947329e+00 3.1252679e-02 -4.2071726e+00 1.4362202e-09 2.8152343e-07 -1.7951280e-08
2589 6.5700576e+01 2.7876434e+00 3.1223297e-02 -4.2184439e+00 1.4353207e-09 2.8153289e-07 -1.7856726e-08
2590 6.5618382e+01 2.7804386e+00 3.1193978e-02 -4.2294060e+00 1.4344221e-09 2.8153402e-07 -1.7760598e-08
2591 6.5537252e+01 2.7731240e+00 3.1164722e-02 -4.2400425e+00 1.4335245e-09 2.8152689e-07 -1.7662922e-08
2592 6.5456987e+01 2.7656908e+00 3.1135530e-02 -4.2503593e+00 1.4326274e-09 2.8151141e-07 -1.7563712e-08
2593 6.5377614e+01 2.7581369e+00 3.1106400e-02 -4.2603400e+00 1.4317315e-09 2.8148768e-07 -1.7462993e-08
2594 6.5299159e+01 2.7504830e+00 3.1077333e-02 -4.2699826e+00 1.4308366e-09 2.8145573e-07 -1.7360788e-08
2595 6.5221500e+01 2.7427124e+00 3.1048329e-02 -4.2792851e+00 1.4299425e-09 2.8141547e-07 -1.7257113e-08
2596 6.5144664e+01 2.7348379e+00 3.1019387e-02 -4.2882380e+00 1.4290494e-09 2.8136700e-07 -1.7151992e-08
2597 6.5068605e+01 2.7268578e+00 3.0990507e-02 -4.2968462e+00 1.4281569e-09 2.8131021e-07 -1.7045439e-08
2598 6.4993277e+01 2.7187774e+00 3.0961689e-02 -4.3050997e+00 1.4272655e-09 2.8124522e-07 -1.6937482e-08
2599 6.4918706e+01 2.7105948e+00 3.0932932e-02 -4.3129960e+00 1.4263751e-09 2.8117203e-07 -1.6828141e-08
2600 6.4844847e+01 2.7023154e+00 3.0904236e-02 -4.3205246e+00 1.4254853e-09 2.8109054e-07 -1.6717430e-08
2601 6.4771729e+01 2.6939370e+00 3.0875601e-02 -4.3276900e+00 1.4245967e-09 2.8100088e-07 -1.6605376e-08
2602 6.4699159e+01 2.6854725e+00 3.0847027e-02 -4.3344815e+00 1.4237090e-09 2.8090307e-07 -1.6491998e-08
2603 6.4627313e+01 2.6769197e+00 3.0818512e-02 -4.3409032e+00 1.4228221e-09 2.8079708e-07 -1.6377309e-08
2604 6.4555999e+01 2.6682691e+00 3.0790056e-02 -4.3469516e+00 1.4219359e-09 2.8068294e-07 -1.6261328e-08
2605 6.4485320e+01 2.6595332e+00 3.0761660e-02 -4.3526082e+00 1.4210509e-09 2.8056078e-07 -1.6144079e-08
2606 6.4415085e+01 2.6507099e+00 3.0733322e-02 -4.3578912e+00 1.4201667e-09 2.8043055e-07 -1.6025574e-08
2607 6.4345397e+01 2.6418043e+00 3.0705041e-02 -4.3627744e+00 1.4192835e-09 2.8029233e-07 -1.5905836e-08
2608 6.4276211e+01 2.6328216e+00 3.0676819e-02 -4.3672684e+00 1.4184008e-09 2.8014607e-07 -1.5784877e-08
2609 6.4207486e+01 2.6237521e+00 3.0648653e-02 -4.3713613e+00 1.4175197e-09 2.7999196e-07 -1.5662725e-08
2610 6.4139176e+01 2.6146007e+00 3.0620543e-02 -4.3750633e+00 1.4166388e-09 2.7982985e-07 -1.5539387e-08
2611 6.4071313e+01 2.6053802e+00 3.0592489e-02 -4.3783623e+00 1.4157591e-09 2.7965989e-07 -1.5414888e-08
2612 6.4003778e+01 2.5960805e+00 3.0564489e-02 -4.3812607e+00 1.4148804e-09 2.7948212e-07 -1.5289248e-08
2613 6.3936602e+01 2.5867068e+00 3.0536544e-02 -4.3837608e+00 1.4140021e-09 2.7929647e-07 -1.5162477e-08
2614 6.3869742e+01 2.5772714e+00 3.0508653e-02 -4.3858497e+00 1.4131251e-09 2.7910309e-07 -1.5034602e-08
2615 6.3803229e+01 2.5677645e+00 3.0480815e-02 -4.3875295e+00 1.4122490e-09 2.7890199e-07 -1.4905638e-08
2616 6.3737018e+01 2.5581910e+00 3.0453030e-02 -4.3888092e+00 1.4113737e-09 2.7869316e-07 -1.4775602e-08
2617 6.3670992e+01 2.5485558e+00 3.0425296e-02 -4.3896755e+00 1.4104994e-09 2.7847668e-07 -1.4644515e-08
2618 6.3605256e+01 2.5388640e+00 3.0397613e-02 -4.3901372e+00 1.4096256e-09 2.7825251e-07 -1.4512390e-08
2619 6.3539691e+01 2.5291054e+00 3.0369980e-02 -4.3901882e+00 1.4087530e-09 2.7802076e-07 -1.4379251e-08
2620 6.3474402e+01 2.5193000e+00 3.0342397e-02 -4.3898292e+00 1.4078812e-09 2.7778147e-07 -1.4245115e-08
2621 6.3409195e+01 2.5094450e+00 3.0314864e-02 -4.3890613e+00 1.4070101e-09 2.7753458e-07 -1.4109996e-08
2622 6.3344176e+01 2.4995305e+00 3.0287378e-02 -4.3878850e+00 1.4061404e-09 2.7728028e-07 -1.3973921e-08
2623 6.3279225e+01 2.4895762e+00 3.0259941e-02 -4.3863007e+00 1.4052710e-09 2.7701842e-07 -1.3836898e-08
2624 6.3214446e+01 2.4795721e+00 3.0232550e-02 -4.3843013e+00 1.4044028e-09 2.7674916e-07 -1.3698951e-08
2625 6.3149644e+01 2.4695229e+00 3.0205206e-02 -4.3819018e+00 1.4035354e-09 2.7647253e-07 -1.3560100e-08
