#  L TT            EE            BB            TE            PP            PT            PE           
  71 1.8965112e+03 3.4387669e-01 1.6364185e-03 -6.1807086e+00 1.2130185e-07 5.3790038e-04 -1.1269530e-06
  72 1.9210293e+03 3.5739135e-01 1.6828428e-03 -6.6418209e+00 1.2062514e-07 5.2968097e-04 -1.1445081e-06
  73 1.9458910e+03 3.7112467e-01 1.7299166e-03 -7.1159205e+00 1.1994715e-07 5.2173395e-04 -1.1301568e-06
  74 1.9711067e+03 3.8506535e-01 1.7776414e-03 -7.6028785e+00 1.1926800e-07 5.1404794e-04 -1.0908491e-06
  75 1.9966792e+03 3.9920137e-01 1.8260187e-03 -8.1022315e+00 1.1858763e-07 5.0661099e-04 -1.0335249e-06
  76 2.0225647e+03 4.1351864e-01 1.8750501e-03 -8.6134257e+00 1.1790617e-07 4.9941018e-04 -9.6489020e-07
  77 2.0486372e+03 4.2800677e-01 1.9247376e-03 -9.1350092e+00 1.1722400e-07 4.9242720e-04 -8.9073662e-07
  78 2.0748804e+03 4.4265409e-01 1.9750829e-03 -9.6665312e+00 1.1654146e-07 4.8564206e-04 -8.1662245e-07
  79 2.1013372e+03 4.5744965e-01 2.0260884e-03 -1.0207838e+01 1.1585901e-07 4.7903538e-04 -7.4810162e-07
  80 2.1280282e+03 4.7238251e-01 2.0777561e-03 -1.0758926e+01 1.1517705e-07 4.7258717e-04 -6.9072177e-07
  81 2.1549768e+03 4.8744146e-01 2.1300884e-03 -1.1319564e+01 1.1449596e-07 4.6627805e-04 -6.4907226e-07
  82 2.1821947e+03 5.0261561e-01 2.1830879e-03 -1.1889366e+01 1.1381604e-07 4.6008885e-04 -6.2392219e-07
  83 2.2096590e+03 5.1789234e-01 2.2367570e-03 -1.2468094e+01 1.1313754e-07 4.5400046e-04 -6.1508662e-07
  84 2.2373693e+03 5.3325976e-01 2.2910985e-03 -1.3055211e+01 1.1246079e-07 4.4799412e-04 -6.2238172e-07
  85 2.2653177e+03 5.4870522e-01 2.3461151e-03 -1.3650552e+01 1.1178598e-07 4.4205049e-04 -6.4562354e-07
  86 2.2935004e+03 5.6421839e-01 2.4018098e-03 -1.4253543e+01 1.1111338e-07 4.3615720e-04 -6.8383709e-07
  87 2.3218862e+03 5.7978625e-01 2.4581855e-03 -1.4863674e+01 1.1044319e-07 4.3032794e-04 -7.3288078e-07
  88 2.3504555e+03 5.9539656e-01 2.5152452e-03 -1.5480400e+01 1.0977550e-07 4.2458237e-04 -7.8782389e-07
  89 2.3792186e+03 6.1103711e-01 2.5729921e-03 -1.6103248e+01 1.0911048e-07 4.1894062e-04 -8.4374045e-07
  90 2.4081780e+03 6.2669122e-01 2.6314293e-03 -1.6731894e+01 1.0844827e-07 4.1342263e-04 -8.9570804e-07
  91 2.4373436e+03 6.4234601e-01 2.6905602e-03 -1.7365796e+01 1.0778897e-07 4.0804410e-04 -9.3973308e-07
  92 2.4667161e+03 6.5798666e-01 2.7503879e-03 -1.8004733e+01 1.0713266e-07 4.0280420e-04 -9.7552644e-07
  93 2.4963105e+03 6.7359842e-01 2.8109160e-03 -1.8648189e+01 1.0647938e-07 3.9769789e-04 -1.0037240e-06
  94 2.5261198e+03 6.8916878e-01 2.8721477e-03 -1.9295949e+01 1.0582918e-07 3.9272016e-04 -1.0249610e-06
  95 2.5561592e+03 7.0468227e-01 2.9340866e-03 -1.9947496e+01 1.0518219e-07 3.8786623e-04 -1.0398729e-06
  96 2.5864214e+03 7.2012487e-01 2.9967361e-03 -2.0602392e+01 1.0453833e-07 3.8313073e-04 -1.0490927e-06
  97 2.6169069e+03 7.3548187e-01 3.0600998e-03 -2.1260197e+01 1.0389772e-07 3.7850884e-04 -1.0532544e-06
  98 2.6476233e+03 7.5073778e-01 3.1241814e-03 -2.1920471e+01 1.0326043e-07 3.7399573e-04 -1.0529917e-06
  99 2.6785486e+03 7.6587862e-01 3.1889843e-03 -2.2582699e+01 1.0262650e-07 3.6958631e-04 -1.0489367e-06
 100 2.7096981e+03 7.8089264e-01 3.2545124e-03 -2.3246368e+01 1.0199601e-07 3.6527570e-04 -1.0417219e-06
 101 2.7410646e+03 7.9576510e-01 3.3207693e-03 -2.3910963e+01 1.0136896e-07 3.6105887e-04 -1.0319786e-06
 102 2.7726484e+03 8.1047385e-01 3.3877588e-03 -2.4576194e+01 1.0074550e-07 3.5693108e-04 -1.0203390e-06
 103 2.8044349e+03 8.2501904e-01 3.4554847e-03 -2.5241249e+01 1.0012560e-07 3.5288710e-04 -1.0074329e-06
 104 2.8364245e+03 8.3937108e-01 3.5239508e-03 -2.5905763e+01 9.9509372e-08 3.4892224e-04 -9.9389167e-07
 105 2.8686101e+03 8.5352270e-01 3.5931611e-03 -2.6569149e+01 9.8896854e-08 3.4503154e-04 -9.8034537e-07
 106 2.9009845e+03 8.6745918e-01 3.6631195e-03 -2.7230743e+01 9.8288110e-08 3.4120998e-04 -9.6742358e-07
 107 2.9335407e+03 8.8117324e-01 3.7338300e-03 -2.7890106e+01 9.7683203e-08 3.3745279e-04 -9.5575615e-07
 108 2.9662640e+03 8.9464275e-01 3.8052968e-03 -2.8546651e+01 9.7082202e-08 3.3375503e-04 -9.4597228e-07
 109 2.9991623e+03 9.0786042e-01 3.8775240e-03 -2.9199715e+01 9.6485170e-08 3.3011180e-04 -9.3870087e-07
 110 3.0322209e+03 9.2080414e-01 3.9505159e-03 -2.9848860e+01 9.5892189e-08 3.2651828e-04 -9.3457075e-07
 111 3.0654327e+03 9.3346657e-01 4.0242768e-03 -3.0493567e+01 9.5303288e-08 3.2297034e-04 -9.3405339e-07
 112 3.0987970e+03 9.4584014e-01 4.0988110e-03 -3.1133085e+01 9.4718490e-08 3.1946752e-04 -9.3699396e-07
 113 3.1323057e+03 9.5790238e-01 4.1741231e-03 -3.1767028e+01 9.4137733e-08 3.1601003e-04 -9.4308070e-07
 114 3.1659506e+03 9.6963824e-01 4.2502178e-03 -3.2394714e+01 9.3561086e-08 3.1259834e-04 -9.5200267e-07
